estid,dayOfWeek,dayOfMonth,timeOfDay,url_category,domain_category
ZGkAC2SlmqwAAAAIBgsjAw==,4,13,Noon,/computers_&_electronics,arts_&_entertainment
ZGkAC2SlmqwAAAAIBgsjAw==,2,18,Morning,/internet_&_telecom,arts_&_entertainment
ZGkAC2SlmqwAAAAIBgsjAw==,4,20,Evening,/internet_&_telecom,internet_&_telecom
ZGkAC2SlmqwAAAAIBgsjAw==,5,28,Morning,/internet_&_telecom,internet_&_telecom
ZGkAC2SlmqwAAAAIBgsjAw==,4,20,Evening,/internet_&_telecom,internet_&_telecom
ZGkAC2SlmqwAAAAIBgsjAw==,4,20,Evening,/online_communities,internet_&_telecom
ZGkAC2SlmqwAAAAIBgsjAw==,5,14,Evening,/computers_&_electronics,arts_&_entertainment
ZGkAC2SlmqwAAAAIBgsjAw==,5,21,Morning,/online_communities,internet_&_telecom
ZGkAC2SlmqwAAAAIBgsjAw==,4,13,Morning,/computers_&_electronics,arts_&_entertainment
ZGkAC2SlmqwAAAAIBgsjAw==,4,13,Morning,/computers_&_electronics,arts_&_entertainment
ZGkAC2SlmqwAAAAIBgsjAw==,5,21,Morning,/online_communities,internet_&_telecom
ZGkAC2SlmqwAAAAIBgsjAw==,4,20,Evening,/online_communities,internet_&_telecom
ZGkAC2VY90EAAAAID5wcAw==,7,30,Afternoon,/pets_&_animals,pets_&_animals
ZGkAC2VY90EAAAAID5wcAw==,7,30,Afternoon,/pets_&_animals,pets_&_animals
ZGkAC2VY90EAAAAID5wcAw==,7,30,Afternoon,/pets_&_animals,pets_&_animals
ZGkAC2VY90EAAAAID5wcAw==,7,9,Evening,/pets_&_animals,travel
ZGkAC2VY90EAAAAID5wcAw==,7,9,Evening,/hobbies_&_leisure,travel
ZGkAC2VY90EAAAAID5wcAw==,7,9,Evening,/pets_&_animals,travel
ZGkACGQAzOAAAAAIPVaUAw==,6,15,Evening,/autos_&_vehicles,news
ZGkACGQAzOAAAAAIPVaUAw==,6,15,Evening,/autos_&_vehicles,news
ZGkACGQAzOAAAAAIPVaUAw==,6,15,Evening,/computers_&_electronics,news
ZGkACGQAzOAAAAAIPVaUAw==,6,22,Evening,/hobbies_&_leisure,health
ZGkACGQAzOAAAAAIPVaUAw==,7,6,Evening,/autos_&_vehicles,news
ZGkACGQAzOAAAAAIPVaUAw==,4,20,Afternoon,/sports,health
ZGkACGQDmaUAAAAIBNU0Aw==,7,16,Evening,/games,travel
ZGkACGQDmaUAAAAIBNU0Aw==,7,16,Evening,/people_&_society,travel
ZGkACGQDmaUAAAAIBNU0Aw==,1,17,Evening,/games,travel
ZGkACGQDmaUAAAAIBNU0Aw==,1,17,Evening,/people_&_society,travel
ZGkACGQDmaUAAAAIBNU0Aw==,1,24,Evening,/arts_&_entertainment,hobbies_&_leisure
ZGkACGQDmaUAAAAIBNU0Aw==,1,24,Evening,/games,hobbies_&_leisure
ZGkACGQLb6MAAAAIdWW2Aw==,4,3,Evening,/business_&_industrial,news
ZGkACGQLb6MAAAAIdWW2Aw==,4,20,Evening,/business_&_industrial,arts_&_entertainment
ZGkACGQLb6MAAAAIdWW2Aw==,1,10,Morning,/news,arts_&_entertainment
ZGkACGQLb6MAAAAIdWW2Aw==,6,29,Evening,/people_&_society,arts_&_entertainment
ZGkACGQLb6MAAAAIdWW2Aw==,6,29,Evening,/people_&_society,arts_&_entertainment
ZGkACGQLb6MAAAAIdWW2Aw==,6,22,Afternoon,/business_&_industrial,news
ZGkACGTL3EgAAAAJEEK/Aw==,6,5,Evening,/sports,news
ZGkACGTL3EgAAAAJEEK/Aw==,6,5,Evening,/sports,news
ZGkACGTL3EgAAAAJEEK/Aw==,6,22,Evening,/sports,news
ZGkACGTL3EgAAAAJEEK/Aw==,6,22,Evening,/news,news
ZGkACGTL3EgAAAAJEEK/Aw==,6,5,Evening,/news,arts_&_entertainment
ZGkACGTL3EgAAAAJEEK/Aw==,6,5,Evening,/sports,arts_&_entertainment
ZGkACGTL3EgAAAAJEEK/Aw==,4,3,Evening,/sports,news
ZGkACGTL3EgAAAAJEEK/Aw==,4,3,Evening,/sports,news
ZGkACGTL3EgAAAAJEEK/Aw==,3,12,Evening,/sports,news
ZGkACGTVeh8AAAAJBkccAw==,1,31,Evening,/sports,news
ZGkACGTVeh8AAAAJBkccAw==,3,2,Evening,/sports,news
ZGkACGTVeh8AAAAJBkccAw==,7,6,Evening,/sports,hobbies_&_leisure
ZGkACGTVeh8AAAAJBkccAw==,7,16,Afternoon,/sports,hobbies_&_leisure
ZGkACGTVeh8AAAAJBkccAw==,2,25,Evening,/sports,news
ZGkACGTVeh8AAAAJBkccAw==,2,18,Evening,/sports,news
ZGkACGTVeh8AAAAJBkccAw==,7,16,Afternoon,/sports,hobbies_&_leisure
ZGkACGTVeh8AAAAJBkccAw==,1,31,Evening,/sports,news
ZGkACGTapZYAAAAIB8itAw==,1,24,Evening,/home_&_garden,beauty_&_fitness
ZGkACGTapZYAAAAIB8itAw==,4,13,Evening,/shopping,law_&_government
ZGkACGTapZYAAAAIB8itAw==,4,13,Evening,/computers_&_electronics,law_&_government
ZGkACGTapZYAAAAIB8itAw==,1,24,Evening,/home_&_garden,beauty_&_fitness
ZGkACGTapZYAAAAIB8itAw==,7,23,Afternoon,/arts_&_entertainment,travel
ZGkACGTapZYAAAAIB8itAw==,7,23,Afternoon,/arts_&_entertainment,travel
ZGkACGU2p7wAAAAIS6eLAw==,1,7,Evening,/travel,travel
ZGkACGU2p7wAAAAIS6eLAw==,7,16,Evening,/online_communities,arts_&_entertainment
ZGkACGU2p7wAAAAIS6eLAw==,7,16,Evening,/online_communities,arts_&_entertainment
ZGkACGU2p7wAAAAIS6eLAw==,7,16,Evening,/internet_&_telecom,arts_&_entertainment
ZGkACGU2p7wAAAAIS6eLAw==,1,7,Evening,/travel,travel
ZGkACGU3E1AAAAAIYp1XAw==,1,31,Evening,/games,sports
ZGkACGU3E1AAAAAIYp1XAw==,1,31,Evening,/sports,sports
ZGkACGU3E1AAAAAIYp1XAw==,1,31,Evening,/sports,news
ZGkACGU3E1AAAAAIYp1XAw==,1,24,Afternoon,/sports,news
ZGkACGU93dYAAAAIJreJAw==,2,27,Evening,/sports,sports
ZGkACGU93dYAAAAIJreJAw==,6,5,Evening,/sports,sports
ZGkACGU93dYAAAAIJreJAw==,1,31,Evening,/sports,sports
ZGkACGU93dYAAAAIJreJAw==,4,20,Morning,/internet_&_telecom,sports
ZGkACGU93dYAAAAIJreJAw==,4,20,Morning,/sports,sports
ZGkACGU93dYAAAAIJreJAw==,5,14,Evening,/sports,sports
ZGkACGU93dYAAAAIJreJAw==,5,21,Evening,/sports,news
ZGkACGU93dYAAAAIJreJAw==,5,21,Evening,/sports,news
ZGkACGU93dYAAAAIJreJAw==,3,26,Evening,/games,sports
ZGkACGVA9A0AAAAIA5X5Aw==,2,1,Afternoon,/food_&_drink,food_&_drink
ZGkACGVA9A0AAAAIA5X5Aw==,5,4,Evening,/autos_&_vehicles,business_&_industrial
ZGkACGVA9A0AAAAIA5X5Aw==,5,4,Evening,/business_&_industrial,business_&_industrial
ZGkACGVA9A0AAAAIA5X5Aw==,2,1,Afternoon,/business_&_industrial,food_&_drink
ZGkACGVA9A0AAAAIA5X5Aw==,2,1,Afternoon,/hobbies_&_leisure,food_&_drink
ZGkACGVA9A0AAAAIA5X5Aw==,2,1,Afternoon,/hobbies_&_leisure,food_&_drink
ZGkACGVVjZwAAAAIQ8zbAw==,3,12,Evening,/computers_&_electronics,law_&_government
ZGkACGVVjZwAAAAIQ8zbAw==,2,27,Evening,/autos_&_vehicles,health
ZGkACGVVjZwAAAAIQ8zbAw==,2,27,Evening,/home_&_garden,health
ZGkACGVVjZwAAAAIQ8zbAw==,2,27,Evening,/home_&_garden,health
ZGkACGVVjZwAAAAIQ8zbAw==,2,27,Evening,/computers_&_electronics,law_&_government
ZGkACGVVjZwAAAAIQ8zbAw==,2,27,Evening,/online_communities,law_&_government
ZGkACGVupCsAAAAJBoP7Aw==,2,1,Evening,/health,health
ZGkACGVupCsAAAAJBoP7Aw==,4,3,Evening,/health,health
ZGkACGVupCsAAAAJBoP7Aw==,4,3,Evening,/health,health
ZGkACGVupCsAAAAJBoP7Aw==,6,29,Evening,/games,hobbies_&_leisure
ZGkACGVupCsAAAAJBoP7Aw==,6,29,Evening,/health,hobbies_&_leisure
ZGkACGVupCsAAAAJBoP7Aw==,6,29,Evening,/health,hobbies_&_leisure
ZGkACGVupCsAAAAJBoP7Aw==,1,31,Evening,/health,health
ZGkACWPbjsQAAAAIA7o2Aw==,1,31,Afternoon,/people_&_society,business_&_industrial
ZGkACWPbjsQAAAAIA7o2Aw==,4,3,Afternoon,/people_&_society,business_&_industrial
ZGkACWPbjsQAAAAIA7o2Aw==,7,6,Evening,/business_&_industrial,hobbies_&_leisure
ZGkACWPbjsQAAAAIA7o2Aw==,7,6,Evening,/food_&_drink,hobbies_&_leisure
ZGkACWPbjsQAAAAIA7o2Aw==,7,6,Afternoon,/beauty_&_fitness,business_&_industrial
ZGkACWPbjsQAAAAIA7o2Aw==,3,19,Afternoon,/people_&_society,business_&_industrial
ZGkACWPbjsQAAAAIA7o2Aw==,1,31,Evening,/people_&_society,books_&_literature
ZGkACWPbjsQAAAAIA7o2Aw==,1,31,Evening,/people_&_society,business_&_industrial
ZGkACWPbjsQAAAAIA7o2Aw==,1,12,Evening,/books_&_literature,books_&_literature
ZGkACWPbjsQAAAAIA7o2Aw==,1,10,Afternoon,/food_&_drink,business_&_industrial
ZGkACWTjmXwAAAAJE9erAw==,5,28,Morning,/online_communities,shopping
ZGkACWTjmXwAAAAJE9erAw==,1,7,Evening,/shopping,business_&_industrial
ZGkACWTjmXwAAAAJE9erAw==,1,7,Evening,/shopping,business_&_industrial
ZGkACWTjmXwAAAAJE9erAw==,1,7,Evening,/shopping,business_&_industrial
ZGkACWTjmXwAAAAJE9erAw==,5,28,Evening,/internet_&_telecom,shopping
ZGkACWTjmXwAAAAJE9erAw==,5,28,Evening,/computers_&_electronics,shopping
ZGkACWTjmXwAAAAJE9erAw==,1,7,Evening,/business_&_industrial,business_&_industrial
ZGkACWVrnekAAAAICFPAAw==,6,5,Evening,/beauty_&_fitness,beauty_&_fitness
ZGkACWVrnekAAAAICFPAAw==,7,9,Evening,/computers_&_electronics,business_&_industrial
