estid,dayOfWeek,dayOfMonth,timeOfDay,url_category,domain_category
ZGkAC2SlmqwAAAAIBgsjAw==,3,12,3,5,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,17,2,12,0
ZGkAC2SlmqwAAAAIBgsjAw==,3,19,1,12,12
ZGkAC2SlmqwAAAAIBgsjAw==,4,27,2,12,12
ZGkAC2SlmqwAAAAIBgsjAw==,3,19,1,12,12
ZGkAC2SlmqwAAAAIBgsjAw==,3,19,1,15,12
ZGkAC2SlmqwAAAAIBgsjAw==,4,13,1,5,0
ZGkAC2SlmqwAAAAIBgsjAw==,4,20,2,15,12
ZGkAC2SlmqwAAAAIBgsjAw==,3,12,2,5,0
ZGkAC2SlmqwAAAAIBgsjAw==,3,12,2,5,0
ZGkAC2SlmqwAAAAIBgsjAw==,4,20,2,15,12
ZGkAC2SlmqwAAAAIBgsjAw==,3,19,1,15,12
ZGkAC2VY90EAAAAID5wcAw==,6,29,0,17,18
ZGkAC2VY90EAAAAID5wcAw==,6,29,0,17,18
ZGkAC2VY90EAAAAID5wcAw==,6,29,0,17,18
ZGkAC2VY90EAAAAID5wcAw==,6,8,1,17,24
ZGkAC2VY90EAAAAID5wcAw==,6,8,1,10,24
ZGkAC2VY90EAAAAID5wcAw==,6,8,1,17,24
ZGkACGQAzOAAAAAIPVaUAw==,5,14,1,1,15
ZGkACGQAzOAAAAAIPVaUAw==,5,14,1,1,15
ZGkACGQAzOAAAAAIPVaUAw==,5,14,1,5,15
ZGkACGQAzOAAAAAIPVaUAw==,5,21,1,10,9
ZGkACGQAzOAAAAAIPVaUAw==,6,5,1,1,15
ZGkACGQAzOAAAAAIPVaUAw==,3,19,0,22,9
ZGkACGQDmaUAAAAIBNU0Aw==,6,15,1,8,24
ZGkACGQDmaUAAAAIBNU0Aw==,6,15,1,16,24
ZGkACGQDmaUAAAAIBNU0Aw==,0,16,1,8,24
ZGkACGQDmaUAAAAIBNU0Aw==,0,16,1,16,24
ZGkACGQDmaUAAAAIBNU0Aw==,0,23,1,0,10
ZGkACGQDmaUAAAAIBNU0Aw==,0,23,1,8,10
ZGkACGQLb6MAAAAIdWW2Aw==,3,2,1,4,15
ZGkACGQLb6MAAAAIdWW2Aw==,3,19,1,4,0
ZGkACGQLb6MAAAAIdWW2Aw==,0,9,2,14,0
ZGkACGQLb6MAAAAIdWW2Aw==,5,28,1,16,0
ZGkACGQLb6MAAAAIdWW2Aw==,5,28,1,16,0
ZGkACGQLb6MAAAAIdWW2Aw==,5,21,0,4,15
ZGkACGTL3EgAAAAJEEK/Aw==,5,4,1,22,15
ZGkACGTL3EgAAAAJEEK/Aw==,5,4,1,22,15
ZGkACGTL3EgAAAAJEEK/Aw==,5,21,1,22,15
ZGkACGTL3EgAAAAJEEK/Aw==,5,21,1,14,15
ZGkACGTL3EgAAAAJEEK/Aw==,5,4,1,14,0
ZGkACGTL3EgAAAAJEEK/Aw==,5,4,1,22,0
ZGkACGTL3EgAAAAJEEK/Aw==,3,2,1,22,15
ZGkACGTL3EgAAAAJEEK/Aw==,3,2,1,22,15
ZGkACGTL3EgAAAAJEEK/Aw==,2,11,1,22,15
ZGkACGTVeh8AAAAJBkccAw==,0,30,1,22,15
ZGkACGTVeh8AAAAJBkccAw==,2,1,1,22,15
ZGkACGTVeh8AAAAJBkccAw==,6,5,1,22,10
ZGkACGTVeh8AAAAJBkccAw==,6,15,0,22,10
ZGkACGTVeh8AAAAJBkccAw==,1,24,1,22,15
ZGkACGTVeh8AAAAJBkccAw==,1,17,1,22,15
ZGkACGTVeh8AAAAJBkccAw==,6,15,0,22,10
ZGkACGTVeh8AAAAJBkccAw==,0,30,1,22,15
ZGkACGTapZYAAAAIB8itAw==,0,23,1,11,2
ZGkACGTapZYAAAAIB8itAw==,3,12,1,21,14
ZGkACGTapZYAAAAIB8itAw==,3,12,1,5,14
ZGkACGTapZYAAAAIB8itAw==,0,23,1,11,2
ZGkACGTapZYAAAAIB8itAw==,6,22,0,0,24
