estid,dayOfMonth,timeOfDay,dayOfWeek,domain_category,url_category
ZGkAC2SlmqwAAAAIBgsjAw==,12,3,3,0,5
ZGkAC2SlmqwAAAAIBgsjAw==,17,2,1,0,12
ZGkAC2SlmqwAAAAIBgsjAw==,19,1,3,12,12
ZGkAC2SlmqwAAAAIBgsjAw==,27,2,4,12,12
ZGkAC2SlmqwAAAAIBgsjAw==,19,1,3,12,12
ZGkAC2SlmqwAAAAIBgsjAw==,19,1,3,12,15
ZGkAC2SlmqwAAAAIBgsjAw==,13,1,4,0,5
ZGkAC2SlmqwAAAAIBgsjAw==,20,2,4,12,15
ZGkAC2SlmqwAAAAIBgsjAw==,12,2,3,0,5
ZGkAC2SlmqwAAAAIBgsjAw==,12,2,3,0,5
ZGkAC2SlmqwAAAAIBgsjAw==,20,2,4,12,15
ZGkAC2SlmqwAAAAIBgsjAw==,19,1,3,12,15
ZGkAC2VY90EAAAAID5wcAw==,29,0,6,18,17
ZGkAC2VY90EAAAAID5wcAw==,29,0,6,18,17
ZGkAC2VY90EAAAAID5wcAw==,29,0,6,18,17
ZGkAC2VY90EAAAAID5wcAw==,8,1,6,24,17
ZGkAC2VY90EAAAAID5wcAw==,8,1,6,24,10
ZGkAC2VY90EAAAAID5wcAw==,8,1,6,24,17
ZGkACGQAzOAAAAAIPVaUAw==,14,1,5,15,1
ZGkACGQAzOAAAAAIPVaUAw==,14,1,5,15,1
ZGkACGQAzOAAAAAIPVaUAw==,14,1,5,15,5
ZGkACGQAzOAAAAAIPVaUAw==,21,1,5,9,10
ZGkACGQAzOAAAAAIPVaUAw==,5,1,6,15,1
ZGkACGQAzOAAAAAIPVaUAw==,19,0,3,9,22
ZGkACGQDmaUAAAAIBNU0Aw==,15,1,6,24,8
ZGkACGQDmaUAAAAIBNU0Aw==,15,1,6,24,16
ZGkACGQDmaUAAAAIBNU0Aw==,16,1,0,24,8
ZGkACGQDmaUAAAAIBNU0Aw==,16,1,0,24,16
ZGkACGQDmaUAAAAIBNU0Aw==,23,1,0,10,0
ZGkACGQDmaUAAAAIBNU0Aw==,23,1,0,10,8
ZGkACGQLb6MAAAAIdWW2Aw==,2,1,3,15,4
ZGkACGQLb6MAAAAIdWW2Aw==,19,1,3,0,4
