estid,os,deviceType,li_age,li_gender,li_income,city_location,city_size,city_tech,city_urban,organization
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2SlmqwAAAAIBgsjAw==,1,0,3,1,4,3,1,0,1,0
ZGkAC2VY90EAAAAID5wcAw==,0,1,1,1,2,2,1,0,1,0
ZGkAC2VY90EAAAAID5wcAw==,0,1,1,1,2,2,1,0,1,0
ZGkAC2VY90EAAAAID5wcAw==,0,1,1,1,2,2,1,0,1,0
ZGkAC2VY90EAAAAID5wcAw==,0,1,1,1,2,2,1,0,1,0
ZGkAC2VY90EAAAAID5wcAw==,0,1,1,1,2,2,1,0,1,0
ZGkAC2VY90EAAAAID5wcAw==,0,1,1,1,2,2,1,0,1,0
ZGkACGQAzOAAAAAIPVaUAw==,0,1,4,1,4,3,0,1,2,0
ZGkACGQAzOAAAAAIPVaUAw==,0,1,4,1,4,3,0,1,2,0
ZGkACGQAzOAAAAAIPVaUAw==,0,1,4,1,4,3,0,1,2,0
ZGkACGQAzOAAAAAIPVaUAw==,0,1,4,1,4,3,0,1,2,0
ZGkACGQAzOAAAAAIPVaUAw==,0,1,4,1,4,3,0,1,2,0
ZGkACGQAzOAAAAAIPVaUAw==,0,1,4,1,4,3,0,1,2,0
ZGkACGQDmaUAAAAIBNU0Aw==,2,0,2,0,5,2,0,1,1,1
ZGkACGQDmaUAAAAIBNU0Aw==,2,0,2,0,5,2,0,1,1,1
